device_address,device_name,seq,t_us,received_at_ns,synced_at_ns,cheep_sync_alpha_ns,cheep_sync_beta
00:70:07:29:92:2E,ESP32,48,118493886,2162071897491701,2162071895179788,2.1619533577154108E15,1.000367768993878
00:70:07:29:92:2E,ESP32,49,119493886,2162072883610394,2162072894620671,2.161953360144803E15,1.0003396815503958
00:70:07:29:92:2E,ESP32,50,120493886,2162073891777631,2162073894762673,2.1619533604846782E15,1.0003352202843687
00:70:07:29:92:2E,ESP32,51,121493886,2162074889504926,2162074894210030,2.161953364569614E15,1.000294289844129
00:70:07:29:92:2E,ESP32,52,122493886,2162075885397302,2162075893562009,2.1619533680158832E15,1.0002584629118363
00:70:07:29:92:2E,ESP32,53,123493886,2162076881941614,2162076892861207,2.161953370787347E15,1.000228253087971
00:70:07:29:92:2E,ESP32,54,124493886,2162077895239547,2162077892759842,2.16195337361278E15,1.0002029100609355
00:70:07:29:92:2E,ESP32,55,125493886,2162078886638270,2162078892082423,2.161953377590679E15,1.0001641971960618
00:70:07:29:92:2E,ESP32,56,126493886,2162079891965378,2162079892165224,2.1619533780542438E15,1.0001598889963979
00:70:07:29:92:2E,ESP32,57,127493886,2162080882666469,2162080891417654,2.161953381273591E15,1.0001275203346938
00:70:07:29:92:2E,ESP32,58,128493886,2162081886162726,2162081890632092,2.1619533858831685E15,1.0000845403920764
00:70:07:29:92:2E,ESP32,59,129493886,2162082890397102,2162082890434461,2.161953387738759E15,1.0000680318019202
00:70:07:29:92:2E,ESP32,60,130493886,2162083911734301,2162083891518559,2.161953387289198E15,1.0000792631862179
00:70:07:29:92:2E,ESP32,61,131493886,2162084870211800,2162084889666376,2.16195339415532E15,1.0000123584210316
00:70:07:29:92:2E,ESP32,62,132493886,2162085895036019,2162085889908177,2.1619533942277738E15,1.000013543295654
00:70:07:29:92:2E,ESP32,63,133493886,2162086895168384,2162086889755773,2.1619533970997618E15,0.9999907861822801
00:70:07:29:92:2E,ESP32,64,134493886,2162087886363982,2162087888991393,2.1619534014705932E15,0.9999526729423284
00:70:07:29:92:2E,ESP32,65,135493886,2162088877728200,2162088888921150,2.1619533979890798E15,0.9999781988018722
00:70:07:29:92:2E,ESP32,66,136493886,2162089885035370,2162089888090743,2.1619534026715162E15,0.999937969581752
00:70:07:29:92:2E,ESP32,67,137493886,2162090888252656,2162090887729195,2.1619534049672615E15,0.9999190941042493
00:70:07:29:92:2E,ESP32,68,138493886,2162091892028942,2162091888082458,2.1619534031766692E15,0.9999351580704431
00:70:07:29:92:2E,ESP32,69,139493886,2162092896883068,2162092888538904,2.161953402215138E15,0.9999457880641527
00:70:07:29:92:2E,ESP32,70,140493886,2162093885122001,2162093888243343,2.1619534029154842E15,0.9999390853180786
00:70:07:29:92:2E,ESP32,71,141493886,2162094891728203,2162094888184806,2.1619534041018458E15,0.9999307175738291
00:70:07:29:92:2E,ESP32,72,142493886,2162095901872653,2162095888542050,2.1619534055139258E15,0.999923801113853
00:70:07:29:92:2E,ESP32,73,143493886,2162096887213637,2162096888297453,2.161953406393545E15,0.9999164975428086
00:70:07:29:92:2E,ESP32,74,144493886,2162097891918227,2162097889288934,2.1619533992437272E15,0.9999734189915
00:70:07:29:92:2E,ESP32,75,145493886,2162098893572728,2162098889320201,2.161953400291987E15,0.9999666117570701
00:70:07:29:92:2E,ESP32,76,146493886,2162099888172541,2162099889313245,2.1619533996894338E15,0.9999709053529885
00:70:07:29:92:2E,ESP32,77,147493886,2162100885048152,2162100889151395,2.1619533992554118E15,0.9999729479208155
00:70:07:29:92:2E,ESP32,78,148493886,2162101893528092,2162101889337322,2.161953399102162E15,0.999975414209219
00:70:07:29:92:2E,ESP32,79,149493886,2162102885154883,2162102889627983,2.161953395039689E15,1.0000046978101318
00:70:07:29:92:2E,ESP32,80,150493886,2162103891157203,2162103890003044,2.1619533925483995E15,1.0000237128925806
00:70:07:29:92:2E,ESP32,81,151493886,2162104894510109,2162104890287005,2.1619533920255505E15,1.0000288820567584
00:70:07:29:92:2E,ESP32,82,152493886,2162105885528054,2162105890121473,2.1619533918932808E15,1.0000284745348373
00:70:07:29:92:2E,ESP32,83,153493886,2162106889700417,2162106889884218,2.1619533939590995E15,1.0000132846880188
00:70:07:29:92:2E,ESP32,84,154493886,2162107898364399,2162107891126605,2.16195338670301E15,1.0000682072030243
00:70:07:29:92:2E,ESP32,85,155493886,2162108884181335,2162108890861119,2.1619533869277148E15,1.0000646160748132
00:70:07:29:92:2E,ESP32,86,156493886,2162109888131083,2162109890523179,2.1619533893321012E15,1.0000466796375982
00:70:07:29:92:2E,ESP32,87,157493886,2162110894260193,2162110890799833,2.1619533887400008E15,1.0000518993669625
00:70:07:29:92:2E,ESP32,88,158493886,2162111886965719,2162111890257991,2.1619533924289795E15,1.000024878003937
00:70:07:29:92:2E,ESP32,89,159493886,2162112890303570,2162112890525837,2.1619533903073052E15,1.0000397039190871
00:70:07:29:92:2E,ESP32,90,160493886,2162113893976462,2162113890342089,2.161953393593892E15,1.0000178336855698
00:70:07:29:92:2E,ESP32,91,161493886,2162114880363100,2162114889654792,2.1619533959844868E15,0.9999986643808397
00:70:07:29:92:2E,ESP32,92,162493886,2162115892981794,2162115890184599,2.161953392530019E15,1.0000231921345015
00:70:07:29:92:2E,ESP32,93,163493886,2162116895945092,2162116890389460,2.161953393145345E15,1.0000205396977186
00:70:07:29:92:2E,ESP32,94,164493886,2162117885801212,2162117890138112,2.1619533937914385E15,1.000014959061704
00:70:07:29:92:2E,ESP32,95,165493886,2162118891030054,2162118890386916,2.1619533920043638E15,1.0000271705078028
00:70:07:29:92:2E,ESP32,96,166493886,2162119896148666,2162119890787813,2.161953390860882E15,1.000036283204129
00:70:07:29:92:2E,ESP32,97,167493886,2162120899392726,2162120891570164,2.161953387402072E15,1.000061387866746
00:70:07:29:92:2E,ESP32,98,168493886,2162121892156317,2162121892029480,2.1619533839072845E15,1.000084490873229
00:70:07:29:92:2E,ESP32,99,169493886,2162122895930283,2162122892239136,2.161953384286641E15,1.0000829911639848
00:70:07:29:92:2E,ESP32,100,170493886,2162123878368476,2162123891382869,2.161953387439815E15,1.0000589877700354
